Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,O2-AV,F4-AV,C4-AV,P4-AV,O2-AV.1,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
20.29,13.15,11.53,14.84,-4.7,1.09,-9.28,-5.72,17.03,-15.51,-27.83,-3.98,1.04,-17.04,3.84,6.6,1.04,14.81,6.73,-2.32,-1.96,-22.98
26.47,21.13,17.82,12.71,8.26,9.73,-3.74,-0.3,23.25,-6.94,-20.4,-140.29,4.02,-2.93,14.4,15.42,4.02,13.21,14.63,7.23,2.72,-16.68
29.97,26.11,24.44,6.95,16.24,14.6,0.05,1.68,26.78,-1.44,-14.3,-220.75,3.66,12.29,21.67,20.13,3.66,5.72,18.68,13.48,5.99,-12.28
27.08,26.15,29.36,0.44,16.85,14.11,0.58,-0.52,25.67,-0.72,-9.99,-217.98,-0.07,23.23,23.5,20.34,-0.07,-5.11,17.08,14.56,6.21,-11.12
18.79,21.46,30.69,-4.16,10.1,8.42,-2.58,-7.34,18.63,-5.11,-6.42,-129.76,-6.8,25.65,19.3,16.69,-6.8,-15.87,9.56,9.93,1.32,-12.74
9.26,14.81,28.09,-4.04,-1.85,-0.06,-7.88,-15.93,8.06,-12.64,-1.57,8.24,-14.39,16.91,10.3,8.49,-14.39,-22.94,-1.79,0.5,-5.16,-16.58
0.35,8.64,22.46,1.59,-14.5,-7.97,-12.66,-22.42,-2.58,-19.94,5.18,141.95,-20.8,0.04,-0.39,-1.34,-20.8,-23.8,-13.28,-10.11,-9.36,-21.27
-6.65,4.69,16.23,10.61,-22.59,-12.47,-15.09,-24.33,-8.73,-24.19,11.78,220.06,-24.14,-17.18,-8.57,-7.6,-24.14,-18.52,-20.67,-17.4,-11.39,-24.08
-9.47,4.13,12.55,20.3,-23.08,-11.74,-13.51,-21.61,-8.37,-23.87,15.97,214.69,-23.95,-28.36,-11.28,-7.92,-23.95,-9.18,-21.67,-19.02,-10.65,-24.04
-6.56,7.81,12.36,27.72,-16.25,-5.64,-7.84,-15.29,-1.16,-18.28,17.74,122.98,-20.26,-29.61,-7.53,-3.36,-20.26,1.04,-15.96,-14.65,-6.14,-21.01
0.66,13.74,13.89,29.51,-4.38,2.81,-0.39,-7.2,10.51,-9.68,18.25,-18.56,-14.59,-19.51,0.85,5.76,-14.59,7.59,-6.1,-5.96,-0.47,-16.42
8.88,19.04,16.09,25.27,7.99,10.33,6.76,0.61,23.05,-1.5,16.96,-155.77,-9.82,-1.61,10.43,16.15,-9.82,7.92,3.76,3.75,4.15,-12.03
14.86,21.66,17.35,17.47,15.46,14.45,12.03,5.53,33.05,3.87,10.92,-235.33,-7.04,16.27,17.13,22.45,-7.04,2.56,9.97,10.44,6.89,-9.43
17.19,20.2,15.8,9.01,15.72,13.37,13.46,6.63,37.82,4.69,-0.05,-229.95,-6.54,28.47,18.77,23.44,-6.54,-6.51,10.29,12.13,6.29,-9.73
15.81,14.56,11.11,2.36,8.7,7.35,10.59,3.77,36.6,0.03,-13.94,-137.98,-8.05,30.88,14.78,19.66,-8.05,-16.16,4.26,8.32,1.51,-13.64
11.62,7.23,5.61,0.31,-3.37,-1.1,5.58,-3.21,30.37,-7.38,-26.77,4.55,-11.5,21.62,6.61,11.04,-11.5,-22.22,-5.56,0.43,-4.6,-18.94
5.73,0.35,1.39,4.02,-15.83,-8.65,0.87,-10.43,21.4,-13.86,-35.31,143.19,-15.28,4.03,-2.58,0.87,-15.28,-22.11,-15.3,-8.55,-10.19,-23.44
-0.18,-3.9,-1.34,11.3,-23.75,-12.64,-2.15,-14.92,13.78,-17.06,-37.78,226.11,-16.49,-13.98,-8.94,-5.62,-16.49,-16.21,-21.32,-14.83,-14.0,-25.94
-3.94,-3.72,-1.01,19.25,-24.14,-12.0,-2.19,-14.02,11.31,-15.85,-34.97,224.97,-13.84,-26.45,-10.46,-6.97,-13.84,-7.28,-21.89,-16.54,-14.56,-25.54
-3.66,1.58,3.4,25.09,-16.81,-6.6,1.68,-7.05,14.89,-10.01,-29.14,136.02,-8.36,-29.41,-6.59,-4.17,-8.36,1.79,-16.86,-13.14,-10.7,-21.83
-0.26,9.21,10.24,25.33,-4.17,1.2,7.43,1.74,22.18,-1.25,-22.31,-3.45,-1.09,-20.71,1.24,2.78,-1.09,7.19,-8.37,-6.03,-4.5,-16.19
4.73,16.48,16.21,19.37,8.92,8.04,12.54,9.33,29.48,6.92,-15.86,-138.54,6.38,-3.77,9.92,10.64,6.38,6.36,-0.08,1.96,1.62,-10.4
10.07,22.17,19.57,10.15,17.21,11.03,14.96,12.39,33.89,11.87,-12.13,-216.66,10.68,13.35,15.47,14.4,10.68,0.05,4.52,7.04,6.14,-5.79
12.99,24.33,19.04,0.66,18.21,8.58,13.49,10.02,34.2,12.1,-11.44,-211.21,10.51,25.16,15.97,13.31,10.51,-9.35,3.79,7.21,6.73,-4.01
11.06,21.74,13.87,-6.14,11.73,0.9,7.95,2.94,30.84,6.99,-12.58,-120.3,6.26,27.78,10.91,8.29,6.26,-18.81,-2.6,2.01,2.71,-5.26
6.22,15.98,6.89,-7.47,-0.25,-9.22,0.32,-6.76,25.72,-1.05,-12.67,19.74,-0.25,19.25,1.74,-0.81,-0.25,-24.55,-12.8,-7.29,-3.85,-8.76
1.13,9.56,0.93,-3.18,-13.03,-18.29,-7.04,-15.91,20.77,-8.87,-9.69,154.33,-6.52,2.52,-8.25,-11.4,-6.52,-24.26,-23.05,-17.63,-9.77,-12.29
-3.8,4.3,-2.09,3.92,-21.33,-23.46,-12.47,-21.18,17.59,-13.51,-0.94,232.7,-10.06,-14.67,-14.97,-18.33,-10.06,-18.27,-29.56,-24.86,-14.49,-14.47
-6.41,2.31,0.07,10.4,-22.27,-23.52,-14.89,-21.87,18.0,-13.01,12.78,227.39,-10.08,-26.18,-16.25,-20.0,-10.08,-8.77,-30.24,-26.89,-16.51,-13.88
-4.39,4.82,8.05,13.85,-15.57,-18.15,-13.53,-17.54,22.32,-8.09,27.02,135.04,-6.42,-27.94,-11.4,-16.84,-6.42,1.14,-24.55,-23.16,-13.73,-10.83
0.77,10.34,18.48,12.09,-3.3,-10.22,-10.08,-9.93,29.83,-0.5,36.11,-7.26,-0.21,-17.98,-1.55,-8.73,-0.21,7.7,-14.58,-14.57,-9.41,-6.9
6.37,16.22,27.39,4.91,9.86,-2.86,-6.44,-2.84,38.83,6.78,36.67,-144.4,5.96,0.48,9.87,1.16,5.96,8.39,-4.02,-4.03,-5.09,-3.08
10.47,20.64,32.22,-4.56,18.84,1.28,-4.0,1.3,45.63,10.42,29.14,-224.41,9.35,19.33,18.62,7.38,9.35,3.76,3.2,4.17,-1.58,-0.95
11.18,21.39,30.63,-13.23,20.78,0.64,-4.67,0.83,47.06,9.15,16.84,-220.51,9.27,32.95,22.46,9.0,9.27,-3.82,4.98,7.89,-0.98,-1.64
9.46,17.71,20.67,-18.87,15.74,-4.88,-9.71,-4.97,42.99,3.78,1.81,-130.09,5.85,37.35,20.48,6.8,5.85,-11.38,0.72,6.15,-4.23,-5.21
7.84,12.24,5.58,-18.82,5.49,-13.07,-17.14,-13.11,35.6,-3.45,-14.37,11.44,0.86,30.45,13.98,0.19,0.86,-15.21,-7.56,-0.1,-10.2,-10.37
6.74,8.09,-9.51,-12.56,-5.65,-20.53,-24.53,-19.37,27.49,-9.76,-30.23,149.45,-2.75,14.92,5.91,-8.37,-2.75,-13.0,-16.24,-8.03,-16.61,-15.3
6.05,6.4,-20.07,-2.91,-12.45,-24.53,-29.82,-21.12,21.93,-13.11,-43.97,231.23,-3.49,-1.67,0.11,-13.73,-3.49,-5.27,-21.59,-13.85,-19.5,-18.46
7.05,8.14,-23.79,6.65,-12.13,-23.52,-31.45,-18.29,21.05,-12.21,-51.36,228.7,-1.39,-13.37,-1.39,-14.29,-1.39,5.5,-21.73,-15.54,-18.37,-18.0
10.72,13.74,-20.84,13.67,-4.55,-17.22,-28.67,-11.12,25.51,-6.1,-51.91,138.74,2.97,-15.75,1.69,-10.66,2.97,16.17,-16.07,-12.47,-13.26,-14.47
15.63,20.75,-13.5,14.84,8.15,-8.23,-23.44,-2.43,34.03,2.07,-48.16,-1.61,8.38,-6.71,8.02,-2.64,8.38,22.73,-6.66,-5.75,-6.32,-9.04
20.09,26.24,-5.43,9.56,21.38,0.2,-18.02,3.44,43.47,9.21,-41.95,-137.38,12.13,10.56,14.81,6.67,12.13,23.04,3.14,1.91,0.26,-3.21
22.49,28.67,0.59,0.9,29.81,5.26,-14.52,5.03,49.49,13.05,-35.09,-216.03,12.26,27.89,18.61,12.1,12.26,17.45,9.49,6.74,5.15,0.87
22.66,27.13,2.51,-8.12,31.1,5.29,-14.8,1.75,49.86,12.14,-29.68,-211.26,8.82,39.73,17.44,12.73,8.82,8.01,10.25,6.85,6.41,1.27
20.66,21.52,-0.47,-14.52,25.05,0.28,-19.47,-5.79,45.05,6.19,-27.03,-121.61,2.8,41.84,10.83,9.27,2.8,-1.95,4.92,2.01,3.1,-2.52
16.96,14.2,-6.64,-15.72,13.89,-6.96,-26.0,-14.99,36.92,-2.43,-25.58,17.31,-4.13,32.33,0.46,1.53,-4.13,-8.19,-4.08,-6.26,-3.51,-8.87
12.51,7.75,-12.3,-11.54,2.14,-12.99,-31.76,-23.33,28.48,-10.36,-22.32,150.76,-11.41,14.3,-10.34,-7.77,-11.41,-7.89,-12.97,-15.15,-10.37,-15.34
9.11,4.5,-14.08,-4.32,-5.26,-15.41,-35.02,-27.69,21.91,-15.09,-15.53,227.14,-16.14,-4.49,-18.09,-13.77,-16.14,-1.97,-18.33,-21.02,-16.08,-20.44
9.22,5.91,-10.1,2.7,-5.66,-13.13,-34.48,-26.22,18.34,-15.58,-5.29,219.35,-16.46,-17.81,-20.48,-14.73,-16.46,6.85,-18.48,-22.22,-19.31,-22.42
13.57,11.78,-1.59,6.83,0.71,-6.35,-29.4,-19.25,18.88,-11.3,7.2,125.0,-13.0,-21.53,-17.14,-11.45,-13.0,15.41,-13.11,-18.3,-16.56,-20.37
18.74,19.34,8.42,6.29,11.85,2.9,-21.62,-10.25,23.3,-4.61,19.47,-18.6,-8.09,-13.42,-9.36,-3.56,-8.09,20.12,-4.08,-10.35,-10.91,-15.66
22.82,26.21,17.65,1.03,23.02,11.22,-13.62,-1.22,29.26,1.39,28.55,-156.45,-3.49,2.75,-0.57,5.49,-3.49,18.37,4.85,-1.48,-5.06,-10.71
25.54,30.97,24.5,-6.63,28.86,15.59,-7.34,3.62,33.01,4.81,32.13,-235.62,-1.09,18.94,5.24,10.63,-1.09,10.82,9.99,4.29,-0.58,-7.55
25.9,31.51,27.15,-14.37,27.3,14.62,-4.65,2.43,31.97,4.4,29.71,-229.93,-2.19,30.18,6.24,11.43,-2.19,-0.0,9.56,5.3,0.86,-7.09
23.25,26.86,24.62,-19.45,18.44,8.6,-5.86,-3.85,26.17,-0.2,20.39,-137.98,-6.39,32.55,2.17,8.56,-6.39,-10.85,3.19,1.16,-1.59,-9.54
19.05,19.59,16.59,-18.47,4.44,0.2,-9.33,-12.24,18.62,-7.07,7.83,3.79,-11.91,24.05,-5.43,1.76,-11.91,-17.65,-6.95,-6.86,-6.04,-13.92
14.51,12.99,5.86,-10.76,-10.05,-7.66,-12.7,-19.45,12.04,-12.77,-4.51,140.86,-17.06,7.64,-13.62,-6.54,-17.06,-17.78,-17.19,-15.76,-9.93,-18.17
10.5,8.84,-3.17,0.79,-20.12,-12.04,-14.17,-22.34,8.86,-14.68,-13.88,221.19,-19.72,-9.13,-18.93,-11.56,-19.72,-12.13,-24.02,-22.06,-12.18,-20.31
8.15,8.28,-7.38,12.69,-22.74,-11.29,-12.36,-19.84,10.95,-11.49,-18.7,217.3,-18.81,-20.39,-19.31,-11.5,-18.81,-3.24,-25.37,-23.86,-11.74,-19.73
8.69,12.24,-4.88,21.77,-17.7,-5.26,-6.88,-12.12,18.1,-3.52,-19.56,126.71,-14.55,-22.09,-14.41,-7.38,-14.55,5.98,-20.8,-20.52,-7.86,-16.4
11.59,19.42,2.0,24.4,-7.1,3.39,-0.15,-3.16,27.88,6.48,-18.04,-13.44,-9.11,-12.52,-5.47,0.82,-9.11,11.39,-12.41,-13.32,-2.03,-11.11
15.71,27.08,9.67,20.01,4.56,11.04,5.3,3.55,37.35,15.18,-15.86,-148.07,-4.59,4.67,4.48,10.04,-4.59,10.51,-4.12,-5.44,3.84,-5.24
19.37,32.42,15.07,11.71,11.76,14.8,7.95,6.27,44.06,20.21,-14.59,-224.7,-2.93,21.38,11.16,15.14,-2.93,3.7,0.23,-0.63,8.19,-0.9
20.42,33.22,15.78,2.98,11.95,13.23,6.55,3.48,46.12,20.32,-13.74,-217.43,-5.34,32.34,12.57,15.43,-5.34,-6.56,-1.07,-0.46,9.65,0.11
17.77,28.95,10.84,-3.01,5.01,6.46,0.68,-3.84,43.08,14.91,-13.07,-125.27,-10.71,33.78,8.46,11.89,-10.71,-16.79,-8.22,-5.32,7.06,-2.96
12.95,21.97,2.39,-3.11,-6.86,-2.87,-7.15,-12.39,36.04,6.72,-12.3,15.1,-16.72,23.84,0.41,4.32,-16.72,-23.02,-18.83,-13.92,1.52,-8.26
8.19,15.39,-6.39,3.05,-19.28,-11.44,-14.32,-20.11,27.61,-0.32,-10.8,149.33,-22.27,6.07,-8.44,-4.38,-22.27,-22.56,-28.87,-23.18,-4.26,-13.19
4.76,11.38,-12.08,12.49,-27.02,-16.44,-19.49,-25.88,21.36,-3.04,-7.91,226.29,-25.57,-11.54,-14.16,-9.33,-25.57,-15.98,-34.6,-29.26,-7.96,-16.06
3.96,11.01,-11.74,22.17,-26.95,-16.36,-21.16,-27.35,19.38,-0.82,-3.49,218.64,-26.2,-23.19,-14.6,-8.71,-26.2,-5.92,-34.2,-29.97,-8.14,-16.17
6.62,14.85,-4.38,29.07,-19.26,-11.05,-18.63,-23.92,22.53,5.54,2.84,124.12,-25.5,-25.02,-9.45,-3.77,-25.5,4.46,-27.12,-25.15,-3.59,-12.84
10.15,21.1,7.27,29.67,-6.47,-3.28,-14.0,-18.48,28.88,13.27,11.26,-19.78,-23.37,-15.1,-0.26,5.51,-23.37,11.03,-15.89,-16.16,2.53,-7.44
12.7,27.17,20.09,23.14,6.42,3.14,-10.01,-14.04,35.07,19.96,20.76,-158.02,-21.13,2.85,9.65,15.67,-21.13,11.29,-4.63,-6.3,8.3,-1.53
14.0,30.58,30.56,12.21,14.17,5.45,-8.56,-12.88,39.13,23.99,28.61,-237.64,-21.03,20.7,16.28,21.73,-21.03,5.47,2.55,0.32,12.22,2.59
12.84,29.8,35.88,0.52,14.24,2.1,-10.65,-16.12,39.08,23.6,33.59,-231.73,-23.43,33.3,17.6,23.02,-23.43,-3.86,3.53,1.9,12.23,2.89
9.38,24.55,32.61,-8.33,6.8,-6.29,-16.23,-23.16,33.12,18.58,34.79,-139.38,-27.76,36.82,13.73,20.41,-27.76,-13.55,-1.66,-1.41,7.46,-0.14
5.07,16.59,22.8,-10.57,-6.04,-16.6,-23.12,-30.62,22.91,11.51,31.5,2.48,-32.27,29.37,6.23,13.42,-32.27,-19.36,-10.52,-8.13,0.53,-4.86
2.5,9.12,10.67,-6.03,-19.35,-25.51,-29.33,-36.43,13.31,6.34,23.7,138.72,-35.39,13.79,-2.19,4.93,-35.39,-18.62,-19.28,-15.58,-5.59,-9.52
2.96,4.38,0.48,1.91,-27.72,-30.18,-33.22,-39.28,7.93,4.87,13.87,217.73,-35.82,-2.14,-7.79,-0.08,-35.82,-11.69,-24.17,-20.05,-9.55,-12.18
5.89,3.72,-6.22,9.65,-28.04,-29.2,-33.58,-37.61,9.1,7.62,4.92,212.67,-32.89,-12.49,-8.37,0.36,-32.89,-1.14,-22.97,-19.59,-9.97,-11.68
10.24,7.33,-7.54,15.0,-20.18,-22.5,-29.6,-30.52,16.17,13.93,0.04,120.91,-27.19,-13.04,-3.89,5.19,-27.19,9.74,-15.33,-14.27,-6.4,-8.07
14.37,13.54,-5.33,15.19,-6.44,-13.03,-23.28,-20.35,25.59,21.52,1.57,-21.09,-22.22,-2.15,4.1,14.57,-22.22,16.92,-3.69,-5.36,-1.46,-2.85
17.73,20.16,-2.17,9.56,7.96,-4.51,-17.14,-10.79,34.06,28.03,6.6,-158.03,-19.03,16.03,12.41,24.48,-19.03,17.91,7.49,3.85,3.34,2.31
19.88,25.38,1.09,0.51,17.29,0.22,-13.07,-7.71,39.2,31.45,8.53,-236.41,-18.91,33.61,17.32,30.06,-18.91,13.11,14.47,9.49,8.59,6.08
18.78,26.96,3.27,-8.67,19.09,-0.1,-12.47,-11.05,39.55,30.27,7.04,-230.66,-22.58,45.27,16.99,30.4,-22.58,4.87,15.24,9.81,11.07,6.94
13.18,23.23,2.51,-14.77,13.27,-5.16,-15.9,-17.71,35.51,24.55,3.84,-139.99,-28.56,46.88,11.18,25.99,-28.56,-3.99,9.44,4.66,8.05,3.58
5.12,15.55,-1.07,-15.14,1.95,-12.51,-21.39,-25.08,29.4,17.08,0.18,-0.41,-34.65,36.69,1.39,16.89,-34.65,-9.47,-0.3,-4.59,1.95,-1.72
-3.18,7.0,-5.71,-9.45,-9.96,-19.03,-26.33,-31.15,23.56,10.72,-2.31,133.5,-39.08,18.3,-9.05,6.29,-39.08,-8.85,-9.73,-14.69,-4.02,-6.8
-9.79,0.87,-8.85,-0.08,-17.11,-21.79,-28.81,-33.58,19.41,6.65,-2.97,210.25,-40.44,-0.15,-16.11,-0.67,-40.44,-2.35,-15.06,-21.86,-7.61,-9.95
-11.35,0.53,-8.96,9.43,-16.92,-19.78,-27.99,-30.44,18.76,6.54,-2.81,203.22,-38.35,-12.91,-17.54,-2.44,-38.35,7.38,-14.69,-24.09,-7.22,-10.44
-6.26,7.6,-5.5,15.8,-8.95,-13.13,-23.64,-22.78,23.25,11.54,-2.43,109.96,-33.44,-15.88,-13.29,-0.07,-33.44,17.39,-8.63,-21.39,-2.17,-8.17
2.34,18.4,0.31,16.07,4.55,-4.97,-17.77,-13.58,31.31,18.7,-1.04,-32.51,-27.15,-6.94,-4.86,6.63,-27.15,23.78,0.96,-15.07,5.19,-4.48
10.69,28.22,7.24,10.01,18.23,1.9,-12.35,-5.02,39.14,24.39,1.29,-168.5,-20.81,10.18,4.36,14.25,-20.81,24.16,10.36,-8.0,12.08,-1.88
16.3,33.97,13.52,0.01,26.94,5.15,-8.96,0.44,43.26,26.14,3.43,-245.01,-16.69,27.36,10.24,17.93,-16.69,19.19,16.06,-3.89,16.39,-1.73
17.63,34.44,16.65,-10.62,28.45,3.51,-9.11,1.27,41.25,22.1,4.47,-236.22,-15.72,39.22,10.71,17.11,-15.72,11.15,16.37,-4.1,15.8,-4.25
13.49,29.65,14.78,-19.12,22.67,-2.97,-13.3,-2.56,33.48,13.22,4.65,-141.93,-17.59,41.97,5.55,12.66,-17.59,3.07,10.91,-9.0,9.55,-9.06
5.4,22.25,8.32,-22.14,11.71,-11.4,-19.59,-8.68,23.59,3.19,4.66,0.72,-20.77,33.65,-4.12,4.23,-20.77,-1.19,1.78,-17.37,0.91,-15.15
-3.84,15.64,-0.18,-18.54,0.26,-18.3,-25.07,-14.36,15.18,-5.22,4.51,136.56,-23.37,17.31,-15.17,-5.38,-23.37,0.78,-7.08,-26.14,-7.08,-20.44
-10.27,12.41,-7.64,-11.05,-6.74,-21.2,-28.32,-17.54,11.07,-9.57,5.18,213.86,-24.15,0.78,-24.08,-11.5,-24.15,8.34,-12.12,-31.84,-12.33,-23.05
-11.47,13.76,-10.86,-3.06,-6.24,-18.77,-27.65,-16.56,12.07,-8.95,5.81,206.11,-22.11,-10.09,-28.36,-12.18,-22.11,18.83,-11.34,-32.34,-13.44,-22.74
-5.89,19.97,-7.46,2.55,1.9,-10.78,-22.11,-12.01,17.58,-3.46,5.92,111.08,-18.24,-11.3,-27.42,-8.65,-18.24,29.33,-4.29,-27.26,-9.77,-19.23
4.25,28.33,0.34,3.02,14.96,-0.12,-13.95,-5.17,24.9,3.82,6.19,-33.36,-13.78,-1.38,-22.65,-0.93,-13.78,35.62,6.33,-17.97,-4.14,-13.97
16.03,35.68,9.03,-1.76,27.96,9.96,-5.86,1.77,31.48,9.57,5.35,-170.81,-9.51,15.87,-16.95,7.36,-9.51,35.25,16.22,-8.0,1.21,-9.52
25.64,40.1,15.56,-9.69,35.77,16.84,0.31,5.56,35.97,12.12,1.67,-248.23,-7.35,32.35,-14.02,11.1,-7.35,29.04,21.91,-1.38,4.57,-7.43
30.93,39.8,17.03,-17.82,36.68,19.24,2.92,3.38,37.11,10.8,-5.06,-240.54,-9.39,43.41,-15.59,10.03,-9.39,19.49,21.73,0.15,4.68,-8.66
31.85,34.27,11.69,-22.49,30.68,16.93,1.71,-5.08,34.91,5.69,-14.36,-147.89,-15.83,45.24,-21.75,5.22,-15.83,10.08,15.71,-3.64,0.63,-13.22
29.62,26.68,2.28,-20.43,19.53,12.28,-1.51,-15.92,30.02,-1.54,-24.19,-7.64,-24.17,35.98,-31.24,-3.45,-24.17,4.86,6.21,-11.27,-5.88,-19.96
26.3,20.19,-6.95,-12.29,7.74,8.06,-4.5,-25.15,23.84,-8.04,-32.27,125.99,-31.33,18.84,-41.01,-13.07,-31.33,5.83,-3.09,-19.83,-12.46,-26.49
23.25,16.54,-12.76,-1.67,0.03,6.62,-5.79,-30.8,18.71,-11.09,-36.65,201.76,-35.21,1.56,-47.25,-18.51,-35.21,12.32,-8.68,-25.51,-16.15,-30.37
21.13,16.04,-12.09,7.89,-1.16,9.19,-4.08,-30.93,16.43,-9.81,-36.57,193.58,-34.67,-9.88,-47.69,-18.09,-34.67,21.41,-8.8,-26.35,-15.19,-30.06
21.21,19.03,-4.16,13.63,4.3,15.98,1.36,-24.82,17.77,-4.51,-32.88,100.43,-29.72,-11.82,-41.79,-12.91,-29.72,29.83,-3.16,-21.67,-10.07,-25.8
23.52,23.95,6.67,12.82,14.81,24.87,8.79,-15.88,20.31,2.21,-27.13,-40.49,-22.91,-1.88,-30.85,-2.68,-22.91,34.29,6.29,-12.52,-4.28,-19.62
26.59,28.83,16.58,5.4,25.38,32.43,15.81,-7.45,21.93,7.35,-19.94,-174.34,-16.81,15.7,-18.54,8.62,-16.81,32.41,15.41,-2.35,0.89,-13.71
28.1,31.61,22.88,-5.25,30.75,35.73,20.57,-2.8,21.55,8.9,-12.82,-248.47,-13.37,32.46,-8.87,15.81,-13.37,24.62,20.55,4.91,4.18,-10.87
26.08,29.94,23.51,-15.91,28.45,33.3,21.14,-3.96,18.46,5.47,-6.94,-236.74,-13.3,43.23,-3.5,18.29,-13.3,13.32,19.92,7.64,3.17,-11.45
21.33,23.21,16.69,-23.37,18.96,25.48,16.87,-10.1,12.84,-3.03,-3.19,-139.33,-15.86,43.98,-3.02,16.57,-15.86,1.79,13.28,5.31,-3.35,-15.09
15.24,14.07,5.09,-24.41,4.8,15.08,10.07,-17.65,6.11,-13.45,-1.9,6.16,-19.52,33.09,-6.5,10.21,-19.52,-5.79,2.95,-0.63,-12.83,-20.4
8.32,6.04,-6.78,-18.61,-9.17,6.06,3.76,-22.99,-0.16,-22.18,-3.29,144.2,-22.06,14.08,-11.19,1.95,-22.06,-6.87,-7.3,-7.42,-21.36,-25.26
1.96,1.11,-14.97,-8.73,-17.85,1.44,-0.32,-24.54,-4.18,-26.69,-5.28,223.32,-22.06,-5.47,-13.28,-3.02,-22.06,-1.97,-13.51,-11.26,-26.67,-28.13
-1.77,0.6,-17.88,1.59,-18.48,2.37,-0.91,-22.22,-4.4,-25.96,-4.4,216.88,-20.31,-19.51,-10.75,-3.12,-20.31,6.27,-13.59,-10.1,-26.74,-27.57
-0.75,4.92,-14.56,8.91,-11.49,8.41,2.47,-15.44,-0.02,-19.86,0.31,123.73,-16.5,-24.02,-3.74,0.55,-16.5,14.57,-7.71,-3.91,-21.85,-23.97
3.72,11.56,-6.42,9.87,0.73,16.69,7.9,-7.88,7.35,-11.46,6.0,-17.42,-11.27,-16.88,6.49,8.21,-11.27,18.94,1.97,5.94,-15.31,-18.7
9.63,17.43,3.56,4.63,13.27,24.2,13.46,-1.94,14.13,-4.22,8.47,-150.76,-6.54,-1.54,17.19,16.43,-6.54,17.16,11.51,16.45,-8.99,-13.66
14.76,20.65,12.51,-4.08,21.04,28.35,17.11,0.45,17.76,-0.31,5.65,-224.05,-4.34,13.79,24.62,20.27,-4.34,9.89,16.99,23.78,-4.52,-10.61
17.01,20.26,17.43,-12.81,21.64,27.22,17.42,-1.83,16.86,-1.69,-0.98,-212.41,-5.55,23.88,26.5,19.14,-5.55,-0.59,16.54,26.05,-4.0,-10.53
15.81,16.16,15.28,-18.1,15.11,21.08,14.19,-8.34,11.39,-8.37,-9.94,-116.52,-10.38,24.87,22.64,14.25,-10.38,-10.79,10.3,22.75,-8.22,-13.71
12.67,10.18,6.74,-16.74,3.49,12.92,9.33,-15.63,3.25,-17.0,-19.1,25.81,-17.22,14.9,14.42,5.14,-17.22,-16.62,0.5,15.25,-14.34,-18.58
7.7,4.2,-4.29,-8.8,-8.55,5.93,4.97,-21.94,-3.8,-23.87,-25.52,160.31,-23.62,-2.69,5.15,-4.94,-23.62,-15.54,-8.99,6.78,-20.1,-22.89
2.1,0.75,-13.51,2.65,-15.8,2.4,2.43,-24.87,-6.37,-26.62,-27.23,235.45,-27.76,-19.91,-1.34,-11.12,-27.76,-8.53,-14.42,0.77,-24.25,-25.29
-0.68,1.03,-17.35,13.35,-15.73,3.61,2.74,-23.22,-3.59,-24.62,-22.88,224.92,-28.29,-31.1,-2.97,-11.92,-28.29,1.48,-13.94,-0.89,-25.05,-25.43
0.7,5.4,-13.93,20.37,-8.75,9.29,6.59,-16.18,3.74,-18.35,-12.4,128.21,-25.08,-32.65,0.31,-8.52,-25.08,11.14,-7.35,2.23,-21.72,-23.47
4.36,12.3,-4.31,20.79,3.12,16.94,11.92,-7.98,13.27,-10.19,0.94,-16.6,-21.07,-22.65,7.22,-0.62,-21.07,16.46,2.9,8.95,-16.39,-19.69
8.74,18.7,8.92,14.8,15.03,23.12,16.79,-1.43,22.15,-3.43,11.22,-152.83,-18.24,-4.89,14.6,8.01,-18.24,15.28,12.91,16.3,-10.47,-15.43
12.28,22.35,21.61,5.27,21.99,25.45,19.85,1.8,27.64,0.09,14.12,-227.74,-18.3,12.47,18.75,12.41,-18.3,8.53,18.95,20.53,-6.23,-11.91
12.39,21.56,29.4,-4.53,21.79,22.97,19.42,0.9,27.66,-0.5,10.31,-216.7,-21.28,24.57,17.8,12.06,-21.28,-0.93,19.15,20.09,-5.45,-10.6
9.16,16.21,29.8,-11.87,14.25,15.66,14.65,-3.66,22.4,-5.95,2.12,-120.41,-25.52,27.39,11.46,7.72,-25.52,-10.07,13.32,14.4,-8.89,-11.89
5.25,8.86,24.9,-13.6,1.26,6.07,7.48,-9.49,13.32,-13.51,-5.79,22.88,-30.41,18.83,0.99,-1.05,-30.41,-15.34,3.69,4.64,-14.27,-14.37
2.35,2.59,17.18,-8.98,-12.54,-2.66,0.51,-14.41,3.74,-19.32,-9.32,157.47,-34.98,2.24,-10.29,-11.07,-34.98,-14.28,-6.02,-6.03,-19.21,-16.55
0.72,-0.08,9.0,-0.55,-21.6,-7.66,-4.3,-16.83,-3.22,-21.04,-6.47,232.26,-37.64,-14.57,-18.26,-17.25,-37.64,-7.57,-11.96,-13.78,-21.61,-17.19
1.05,2.15,1.68,8.85,-22.64,-7.26,-5.34,-14.46,-5.31,-18.01,2.41,221.39,-37.11,-25.7,-20.58,-17.98,-37.11,2.08,-12.01,-16.36,-20.44,-15.95
